Date,Channel,SKU,Vendor,Wheel,Size,Bolt Pattern,Finish,Price,ID,Monthly Total,Monthly Sets,,
3/26/2025,Shopify,GL-57DR-179+38-5100-CP,Gram Lights,Gram Lights 57DR,17x9 +38,5x100,Chrome Plating,"$2,373.00",Gram Lights 57DR17x9 +385x100Chrome Plating,,,,
3/26/2025,Shopify,GL-57DR-1810.5+22-51143-CP,Gram Lights,Gram Lights 57DR,18x10.5 +22,5x114.3,Chrome Plating,"$2,658.00",Gram Lights 57DR18x10.5 +225x114.3Chrome Plating,,,,
3/26/2025,Shopify,GL-57DR-189.5+38-51143-CP,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Chrome Plating,"$1,294.00",Gram Lights 57DR18x9.5 +385x114.3Chrome Plating,,,,
3/26/2025,eBay,E-RPF1-179+35-51143-SS,Enkei,Enkei RPF1,17x9 +35,5x114.3,F1 Silver,$274.00,Enkei RPF117x9 +355x114.3F1 Silver,,,,
3/25/2025,Shopify,"E-RPF1-178.5+40,1710+18-51143-SS",Enkei,Enkei RPF1,"17x8.5 +40, 17x10 +18",5x114.3,F1 Silver,"$1,085.40","Enkei RPF117x8.5 +40, 17x10 +185x114.3F1 Silver",,,,
3/25/2025,Shopify,V-RacingTE37XTMSpec-178.5-3-6135-BR,Volk,Volk Racing TE37XT M-Spec,17x8.5 -3,6x135,Bronze,"$3,307.14",Volk Racing TE37XT M-Spec17x8.5 -36x135Bronze,,,,
3/25/2025,Shopify,GL-57DR-189.5+38-51143-CP,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Chrome Plating,"$2,587.00",Gram Lights 57DR18x9.5 +385x114.3Chrome Plating,,,,
3/25/2025,eBay,E-RPF1-158+28-4100-SS,Enkei,Enkei RPF1,15x8 +28,4x100,F1 Silver,"$1,004.20",Enkei RPF115x8 +284x100F1 Silver,,,,
3/25/2025,eBay,E-RPF1-179+22-51143-VW,Enkei,Enkei RPF1,17x9 +22,5x114.3,Vanquish White,$310.72,Enkei RPF117x9 +225x114.3Vanquish White,,,,
3/25/2025,eBay,E-RPF1-189+35-51143-SS,Enkei,Enkei RPF1,18x9 +35,5x114.3,F1 Silver,"$1,403.00",Enkei RPF118x9 +355x114.3F1 Silver,,,,
3/25/2025,eBay,GL-57DR-189.5+38-51143-BR2,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Bronze 2,"$1,850.00",Gram Lights 57DR18x9.5 +385x114.3Bronze 2,,,,
3/25/2025,eBay,V-RacingTE37XTMSpec-168-20-61397-PG,Volk,Volk Racing TE37XT M-Spec,16x8 -20,6x139.7,Pressed Graphite,"$2,765.49",Volk Racing TE37XT M-Spec16x8 -206x139.7Pressed Graphite,,,,
3/24/2025,eBay,E-RPF1-1810.5+15-51143-S,Enkei,Enkei RPF1,18x10.5 +15,5x114.3,SBC,"$1,776.36",Enkei RPF118x10.5 +155x114.3SBC,,,,
3/24/2025,eBay,GL-57DR-189.5+38-51143-EG,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,E8 Gold,"$1,999.00",Gram Lights 57DR18x9.5 +385x114.3E8 Gold,,,,
3/24/2025,eBay,V-RacingTE37SagaSPlus-189.5+22-51143-SLV,Volk,Volk Racing TE37 Saga S-Plus,18x9.5 +22,5x114.3,Diamond Silver,"$3,200.00",Volk Racing TE37 Saga S-Plus18x9.5 +225x114.3Diamond Silver,,,,
3/22/2025,Shopify,"V-RacingTE37SL-199.5+22,1910.5+35-5112-SLV",Volk,Volk Racing TE37SL,"19x9.5 +22, 19x10.5 +35",5x112,Diamond Silver,"$3,637.17","Volk Racing TE37SL19x9.5 +22, 19x10.5 +355x112Diamond Silver",,,,
3/22/2025,Shopify,"M-MF10-178.5+40,1810.5+45-51143-W",Mugen,Mugen MF10,"17x8.5 +40, 18x10.5 +45",5x114.3,White,"$3,553.00","Mugen MF1017x8.5 +40, 18x10.5 +455x114.3White",,,,
3/22/2025,eBay,E-RPF1-177+45-51143-SS,Enkei,Enkei RPF1,17x7 +45,5x114.3,F1 Silver,$246.21,Enkei RPF117x7 +455x114.3F1 Silver,,,,
3/22/2025,eBay,E-RPF1-179+35-51143-SS,Enkei,Enkei RPF1,17x9 +35,5x114.3,F1 Silver,$274.00,Enkei RPF117x9 +355x114.3F1 Silver,,,,
3/21/2025,eBay,GL-57DR-189.5+12-51143-SGB,Gram Lights,Gram Lights 57DR,18x9.5 +12,5x114.3,Semi Gloss Black,$506.84,Gram Lights 57DR18x9.5 +125x114.3Semi Gloss Black,,,,
3/21/2025,eBay,V-RacingZE40MSpec-189.5+21-51143-BR,Volk,Volk Racing ZE40 M-Spec,18x9.5 +21,5x114.3,Bronze,"$3,488.32",Volk Racing ZE40 M-Spec18x9.5 +215x114.3Bronze,,,,
3/20/2025,Shopify,GL-57CR-189.5+38-51143-CP,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x114.3,Chrome Plating,"$2,328.30",Gram Lights 57CR18x9.5 +385x114.3Chrome Plating,,,,
3/20/2025,eBay,"B-LM-199.5+22,1911+37-5120-SLV",BBS,BBS LM,"19x9.5 +22, 19x11 +37",5x120,Diamond Silver,"$4,870.00","BBS LM19x9.5 +22, 19x11 +375x120Diamond Silver",,,,
3/19/2025,eBay,E-RPF1-158+28-4100-SS,Enkei,Enkei RPF1,15x8 +28,4x100,F1 Silver,"$1,004.20",Enkei RPF115x8 +284x100F1 Silver,,,,
3/19/2025,eBay,E-RPF1-178+35-51143-SS,Enkei,Enkei RPF1,17x8 +35,5x114.3,F1 Silver,$260.28,Enkei RPF117x8 +355x114.3F1 Silver,,,,
3/19/2025,eBay,"V-RacingTE37SagaSL-189.5+20,1810.5+30-5112-PG",Volk,Volk Racing TE37 Saga SL,"18x9.5 +20, 18x10.5 +30",5x112,Pressed Graphite,"$2,899.00","Volk Racing TE37 Saga SL18x9.5 +20, 18x10.5 +305x112Pressed Graphite",,,,
3/18/2025,Shopify,GL-57CR-189.5+38-51143-CP,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x114.3,Chrome Plating,"$2,587.00",Gram Lights 57CR18x9.5 +385x114.3Chrome Plating,,,,
3/18/2025,eBay,E-RPF1-158+28-4100-S,Enkei,Enkei RPF1,15x8 +28,4x100,SBC,"$1,265.72",Enkei RPF115x8 +284x100SBC,,,,
3/17/2025,Shopify,GL-57NR-189.5+45-5120-GB,Gram Lights,Gram Lights 57NR,18x9.5 +45,5x120,Glass Black,"$1,976.25",Gram Lights 57NR18x9.5 +455x120Glass Black,,,,
3/17/2025,eBay,V-RacingTE37SagaSL-189.5+22-51143-PG,Volk,Volk Racing TE37 Saga SL,18x9.5 +22,5x114.3,Pressed Graphite,"$3,100.00",Volk Racing TE37 Saga SL18x9.5 +225x114.3Pressed Graphite,,,,
